ID|Type|Original line|The translation
0|Speech (Player)|There's no place like home.|"Nu există nici un loc ca acasă. "
1|Speech (Noo Noo)|You should head home, You haven't eaten today.|"Ar trebui să te duci acasă, nu ai mâncat azi. "
2|Speech (Player)|Yeah I'm done here anyway, Let's go.|"Da, am terminat aici oricum, să mergem. "
3|Speech (Noo Noo)|Actually, I'm gonna stay here for a bit.|"De fapt, o să stau puțin. "
4|Speech (Player)|Alright, See you later Noo Noo!|"Bine,ne vedem mai târziu Noo Noo! "
5|Speech (Noo Noo)|Bye Po, I'll be home soon.|"Pa Po, o să vin curând. "
6|Speech (Noo Noo)|I wonder what the others are up to.|"Mă întreb ce fac ceilalți. "
7|Speech (Noo Noo)|Why are you out here all by yourself?|"De ce te afli aici de unul singur? "
8|Speech (Noo Noo)|Everyone misses you.|"Tuturor le este dor de tine. "
9|Speech (Dipsy (Hungry))|It should be on the tool rack near the beds.|"Ar trebui să fie pe suportul de scule de lângă paturi. "
10|Speech (Player)|Alright thanks!|"Bine multumesc! "
11|Speech (Tinky Winky)|PO's back, horray!|"PO se întoarce, Yay! "
12|Speech (Player)|I'm sorry, I didn't mean to be rude.|"Îmi pare rău, nu am vrut să fiu nepoliticos. "
13|Speech (Noo Noo)|All is forgiven.|"Totul este iertat. "
14|Speech (Player)|There is no time to wake the others.  I need to follow him quickly before he goes far!|"Nu este timp să-i trezim pe ceilalți. Trebuie să-l urmez repede înainte să meargă prea departe! "
15|Speech (Player)|I better grab a torch from the work bench.|"Mai bine iau o torță de la banca de lucru. "
16|Speech (Player)|I hope custard will chear Laa Laa up...|"Sper că budinca o va înveseli pe Laa Laa ... "
17|Speech (Player)|What a view...|Ce priveliste...
18|Speech (Noo Noo)|It's a beautiful day.|"Este o zi frumoasa. "
19|Speech (Lala)|Oh, hi Po... *sigh*|Oh, buna Po...
20|Speech (Dipsy (Hungry))|Of course, you need to press the 'on' button on your right.|"Desigur, trebuie să apesi butonul ""on"" în dreapta. "
21|Speech (Player)|Ah now I remember, thanks!|"Ah,acum îmi amintesc, mulțumesc! "
