ID|Type|Original line|The translation
0|Speech (Player)|There's no place like home.|Нема никакво место како дома.
1|Speech (Noo Noo)|You should head home, You haven't eaten today.|Треба да одиш дома, немаш јадено ништо денес.
2|Speech (Player)|Yeah I'm done here anyway, Let's go.|Јас сум готов тука. Ајде да одиме.
3|Speech (Noo Noo)|Actually, I'm gonna stay here for a bit.|Иначе, јас ке останам тука малце.
4|Speech (Player)|Alright, See you later Noo Noo!|Во ред, се гледаме после Noo Noo!
5|Speech (Noo Noo)|Bye Po, I'll be home soon.|Чао Po,ке бидам дома наскоро
6|Speech (Noo Noo)|I wonder what the others are up to.|Се прашувам што прават другите?
7|Speech (Noo Noo)|Why are you out here all by yourself?|Зошто си тука сам?
8|Speech (Noo Noo)|Everyone misses you.|Сите те недостигаат
9|Speech (Dipsy (Hungry))|It should be on the tool rack near the beds.|Треба да биде на решетката со алатки пред креветите
10|Speech (Player)|Alright thanks!|Во ред, Фала!
11|Speech (Tinky Winky)|PO's back, horray!|Po се врати! Ура!
12|Speech (Player)|I'm sorry, I didn't mean to be rude.|Извини,нејкев да бидам груб.
13|Speech (Noo Noo)|All is forgiven.|Се е простено.
14|Speech (Player)|There is no time to wake the others.  I need to follow him quickly before he goes far!|Нема време за да ги разбудам другите. Треба да го следам пред да отиде далеку.
15|Speech (Player)|I better grab a torch from the work bench.|Треба да земам факел од клупата.
16|Speech (Player)|I hope custard will chear Laa Laa up...|Се надевам кремата ке го насмее Laa Laa
17|Speech (Player)|What a view...|Каков глед...
18|Speech (Noo Noo)|It's a beautiful day.|Прекрасно е надвор.
19|Speech (Lala)|Oh, hi Po... *sigh*|Здраво Po...
20|Speech (Dipsy (Hungry))|Of course, you need to press the 'on' button on your right.|"Секако, Треба да го притиснеш ""Уклучи"" Копчето на твоето десно."
21|Speech (Player)|Ah now I remember, thanks!|Сега памтам, Фала!
22|Speech (Player)|What I'm doing here is none of your concern.|Што правам тука не е твоја работа.
23|Speech (Noo Noo)|You are my concern, I am here for you.|Јас сум загрижен,тука сум за тебе.
24|Speech (Player)|It sure is! Today is nice and warm.|Точно. Денеска е многу убаво и топло.
25|Speech (Noo Noo)|I am unable to feel warmth.|Јас не чуствувам топлина.
26|Speech (Dipsy (Hungry))|Nope, it's been missing for so long that I can't even remember when I lost it.|Не,тоа го нема за толку долго не ни памтам кога го изгубив.
27|Speech (Player)|You'll find it eventually, I'm sure.|Ке го најдеш,се надевам.
28|Speech (Player)|I should probably give Dipsy some tubby custard.|Треба да му дадам Dipsy малце Крема
29|Speech (Player)|I'll need to find the tool box before I can fix this.|Ке треба да ја најдам кутијата со алатки пред да го поправам воа.
30|Speech (Player)|(He's my best friend!)|(тој ми е најдобриот другар!)
31|Speech (Player)|It's ready, time to give it to one of my friends!|Спремно е, треба да го дадам на еден он сите мои другари!
32|Speech (Player)|I'm already carrying a custard.|Веќе носам кустард крем.
33|Speech (Player)|Now to make myself some tubby custard!|Сега треба да си направам малце таби крем!
34|Speech (Player)|I can't sleep...|Неможам да спијам...
35|Speech (Player)|*Gasp*|Леле!
36|Speech (Player)|Tubby custard, how did that get here?|Таби крем? Како тоа стаса таму?
37|Speech (Player)|Tinky Winky doesn't seem to be here, I guess I better check the lake.|Tinky Winky Не е тука,поарно да ја проверам реката,
38|Speech (Player)|Tinky Winky...?|Tinky Winky...?
39|Speech (Player)|Wh... What happened to La La...?|Што се случи со Laa Laa?
40|Speech (Player)|Are you ok...?|Добар ли си...?
41|Speech (Player)|Oh my god!|Ох мој боже!
42|Speech (Player)|He's chasing me, I better get to the house quick!|Ме брка,треба да отидам до куќата брзо!
43|Speech (Player)|Hey Dipsy...|Здраво Dipsy
44|Speech (Dipsy (Hungry))|Hey.|Здраво.
45|Speech (Player)|It still works, but I don't need it right now.|Уште работи, но не ми треба сега.
46|Speech (Tinky Winky)|........................................|........................................
47|Speech (Player)|Wait, where are you going!?|Чекај, каде одиш ти!?
48|Speech (Tinky Winky)|Wow PO don't be so rude.|Po не биди толку груб.
49|Speech (Player)|Get used to it.|Треба да се навикнеш.
50|Speech (Tinky Winky)|*Tinky Winky is offended*|"*Tinky Winky е навреден"""
51|Speech (Player)|Power is now on, time to make some custard!|Има струја,сега ке направам малце таби крем!
52|Speech (Player)|We should get you a rain coat.|Ние треба да ти земеме мантил за дожд
53|Speech (Noo Noo)|That would be practical.|Тоа би било практично.
54|Speech (Player)|Alright, now time to fix the custard machine...|Во ред, време е да ја поправам машината за крем
55|Speech (Player)|Will you just go away?|Може ли да си одиш?
56|Speech (Noo Noo)|You should treat others how you'd like to be treated.|Треба да се однесуваш кон другите исто како ти сакаш другите да се однесуваат кон тебе.
57|Speech (Lala)|I don't really feel like playing...|Јас не се чуствувам како играње.
58|Speech (Tinky Winky)|Hi Po, I'm getting hungry...|Здраво Po,Јас сум гладен...
59|Speech (Player)|Me too! Lets go inside and get tubby custard.|И јас! Ајде да одиме внатре и да земеме таби крем.
60|Speech (Tinky Winky)|Ok! But you should talk to LaLa first, she's been upset all day.|Ок! но ти треба да зборуваш со Laa Laa првен,таа е лута цел ден.
61|Speech (Player)|Uh oh! The machine is broken again, I guess I better fix it.|Машината е скршена пак,треба да ја поправам.
62|Speech (Tinky Winky)|Please hurry, I'm so hungry! Go fetch the tool box.|Te molam pobrzaj,jas sum pre gladen! Odi zemi ja kutijata so alatki.
63|Speech (Player)|Here you go Tinky Winky!|Еве ти Tinky Winky!
64|Speech (Tinky Winky)|Thank you PO! I couldn't live without you.|Фала Po! не би живеел без тебе.
