ID|Type|Original line|The translation
0|Speech (Player)|There's no place like home.|Der er intet sted som der hjemme.
1|Speech (Noo Noo)|You should head home, You haven't eaten today.|Du burde gå hjem, du har ikke spist i dag.
2|Speech (Player)|Yeah I'm done here anyway, Let's go.|Ja jeg er færdig her aligevel, lad os gå.
3|Speech (Noo Noo)|Actually, I'm gonna stay here for a bit.|Faktisk, så jeg bliver her lidt.
4|Speech (Player)|Alright, See you later Noo Noo!|Okay, ses senere Noo Noo!
5|Speech (Noo Noo)|Bye Po, I'll be home soon.|Ses Po, jeg er hjemme snart.
6|Speech (Noo Noo)|I wonder what the others are up to.|Gad vide hvad de andre laver.
7|Speech (Noo Noo)|Why are you out here all by yourself?|Hvorfor er du her ude helt alene?
8|Speech (Noo Noo)|Everyone misses you.|Alle savner dig.
9|Speech (Dipsy (Hungry))|It should be on the tool rack near the beds.|Den burde være på værktøjs hylden nær sengene.
10|Speech (Player)|Alright thanks!|Okay, tak!
11|Speech (Tinky Winky)|PO's back, horray!|Po er tilbage, hurra!
12|Speech (Player)|I'm sorry, I didn't mean to be rude.|Undskyld, jeg mente ikke at være uhøflig.
13|Speech (Noo Noo)|All is forgiven.|Alt er tilgivet.
14|Speech (Player)|There is no time to wake the others.  I need to follow him quickly before he goes far!|Der er ikke tid til at vække de andre. jeg er nødt til at følge efter ham inden han kommer for langt væk.
15|Speech (Player)|I better grab a torch from the work bench.|Jeg må heller tage en lygte fra arbejdsbordet.
16|Speech (Player)|I hope custard will chear Laa Laa up...|Jeg håber jordbæris vil gøre Laa Laa glad igen...
17|Speech (Player)|What a view...|Sikke en udsigt...
18|Speech (Noo Noo)|It's a beautiful day.|Det er en smuk dag.
19|Speech (Lala)|Oh, hi Po... *sigh*|"Oh, hej Po... ""suk"""
20|Speech (Dipsy (Hungry))|Of course, you need to press the 'on' button on your right.|"Selvføgelig, du skal trykke på ""tænd"" knappen til din højre."
21|Speech (Player)|Ah now I remember, thanks!|Ah nu husker jeg, tak!
22|Speech (Player)|What I'm doing here is none of your concern.|Hvad jeg laver her, kommer ikke dig ved.
23|Speech (Noo Noo)|You are my concern, I am here for you.|Du kommer mig ved, jeg er her på grund af dig.
24|Speech (Player)|It sure is! Today is nice and warm.|Det er det! I dag er det dejlig varmt.
25|Speech (Noo Noo)|I am unable to feel warmth.|Jeg er ude af stand til at føle varme.
26|Speech (Dipsy (Hungry))|Nope, it's been missing for so long that I can't even remember when I lost it.|Nej, den har været væk så længe at jeg ikke engang kan huske hvornår jeg mistede den.
27|Speech (Player)|You'll find it eventually, I'm sure.|Du finder den på et tidspunkt, det er jeg sikker på.
28|Speech (Player)|I should probably give Dipsy some tubby custard.|Jeg burde nok give Dipsy noget tubbie jordbæris.
29|Speech (Player)|I'll need to find the tool box before I can fix this.|Jeg er nødt til at finde værktøjskassen før jeg kan fikse det her.
30|Speech (Player)|(He's my best friend!)|(Han er min bedste ven!)
31|Speech (Player)|It's ready, time to give it to one of my friends!|Den er klar, tid til at give den til en af mine venner!
32|Speech (Player)|I'm already carrying a custard.|Jeg bærer allerede noget jordbæris.
33|Speech (Player)|Now to make myself some tubby custard!|Tid til at lave mig selv noget jordbæris!
34|Speech (Player)|I can't sleep...|Jeg kan ikke sove...
35|Speech (Player)|*Gasp*|*Gisp*
36|Speech (Player)|Tubby custard, how did that get here?|Tubbie jordbæris, hvordan er det endt her?
37|Speech (Player)|Tinky Winky doesn't seem to be here, I guess I better check the lake.|Tinky Winky ser ikke ud til at være her, jeg tror jeg heller må tjekke ved søen.
38|Speech (Player)|Tinky Winky...?|Tinky Winky...?
39|Speech (Player)|Wh... What happened to La La...?|Hv... Hvad skete det med Laa Laa...?
40|Speech (Player)|Are you ok...?|Er du okay...?
41|Speech (Player)|Oh my god!|Oh gud!
42|Speech (Player)|He's chasing me, I better get to the house quick!|Han jager mig, jeg må heller komme tilbage til huset i en fart.
43|Speech (Player)|Hey Dipsy...|Hej Dipsy...
44|Speech (Dipsy (Hungry))|Hey.|Hej.
45|Speech (Player)|It still works, but I don't need it right now.|Den virker stadig, men jeg har ikke brug for den lige nu.
46|Speech (Tinky Winky)|........................................|........................................
47|Speech (Player)|Wait, where are you going!?|Vent, hvor skal du hen?
48|Speech (Tinky Winky)|Wow PO don't be so rude.|Wow Po ikke vær så uhøflig
49|Speech (Player)|Get used to it.|Væn dig til det.
50|Speech (Tinky Winky)|*Tinky Winky is offended*|*Tinky Winky er fornærmet*
51|Speech (Player)|Power is now on, time to make some custard!|Strømmen er nu tændt, tid til at lave noget jordbæris.
52|Speech (Player)|We should get you a rain coat.|Vi burde finde en regn frakke til dig.
53|Speech (Noo Noo)|That would be practical.|Det ville være praktisk.
54|Speech (Player)|Alright, now time to fix the custard machine...|Okay, tid til at fikse jordbæris maskinen...
55|Speech (Player)|Will you just go away?|Vil du bare gå væk?
56|Speech (Noo Noo)|You should treat others how you'd like to be treated.|Du burde behandle andre som du selv vil behandles.
