ID|Type|Original line|The translation
0|Speech (Player)|There's no place like home.|On n'est jamais mieux que chez soi.
1|Speech (Noo Noo)|You should head home, You haven't eaten today.|Tu devrais rentrer, tu n'as pas encore mangé aujourd'hui.
2|Speech (Player)|Yeah I'm done here anyway, Let's go.|Ouais J'en ai fini ici de toute façon, allons-y.
3|Speech (Noo Noo)|Actually, I'm gonna stay here for a bit.|En fait, je vais rester ici un moment.
4|Speech (Player)|Alright, See you later Noo Noo!|Bien, À plus tard Noo Noo!
5|Speech (Noo Noo)|Bye Po, I'll be home soon.|Aurevoir Po, Je serai bientôt à la maison.
6|Speech (Noo Noo)|I wonder what the others are up to.|Je me demande ce que font les autres.
7|Speech (Noo Noo)|Why are you out here all by yourself?|Pourquoi est-tu ici tout seul?
8|Speech (Noo Noo)|Everyone misses you.|Tu nous manque.
9|Speech (Dipsy (Hungry))|It should be on the tool rack near the beds.|Il devrait être sur le porte-outils près des lits.
10|Speech (Player)|Alright thanks!|D'accord, merci!
11|Speech (Tinky Winky)|PO's back, horray!|Hourra, Po est de retour!
12|Speech (Player)|I'm sorry, I didn't mean to be rude.|Désolée, Je ne voulais pas être impolie.
13|Speech (Noo Noo)|All is forgiven.|Tout va bien.
14|Speech (Player)|There is no time to wake the others.  I need to follow him quickly before he goes far!|Je n'ai pas le temps de réveiller les autres.  Je dois le rattraper avant qu'il ne s'éloigne trop!
15|Speech (Player)|I better grab a torch from the work bench.|Je ferais mieux de prendre une lampe de poche de l'atelier.
16|Speech (Player)|I hope custard will chear Laa Laa up...|J'espère que cela consolera Laa-Laa...
17|Speech (Player)|What a view...|Quelle belle vue...
18|Speech (Noo Noo)|It's a beautiful day.|C'est une belle journée.
19|Speech (Lala)|Oh, hi Po... *sigh*|Oh, salut Po... *soupir*
20|Speech (Dipsy (Hungry))|Of course, you need to press the 'on' button on your right.|Bien sûr, tu dois juste appuyer sur le bouton qui est sur ta droite.
21|Speech (Player)|Ah now I remember, thanks!|Ah oui je m'en souviens, merci!
22|Speech (Player)|What I'm doing here is none of your concern.|Ce que je fais ici ne te concerne pas.
23|Speech (Noo Noo)|You are my concern, I am here for you.|Je suis concerné, Je suis là pour toi.
24|Speech (Player)|It sure is! Today is nice and warm.|Tout à fait! Aujourd'hui, est un jour agréable et chaleureux.
25|Speech (Noo Noo)|I am unable to feel warmth.|Je ne peux pas ressentir cette chaleur.
26|Speech (Dipsy (Hungry))|Nope, it's been missing for so long that I can't even remember when I lost it.|Non, je l'ai perdu il y a si longtemps que je ne me souviens plus de quand.
27|Speech (Player)|You'll find it eventually, I'm sure.|Tu le retrouvera, J'en suis sûre.
28|Speech (Player)|I should probably give Dipsy some tubby custard.|Je devrais offrir du tubby-délice à Dipsy.
29|Speech (Player)|I'll need to find the tool box before I can fix this.|Je dois trouver la caisse à outils avant de pouvoir le réparer.
30|Speech (Player)|(He's my best friend!)|(Il est mon meilleur ami!)
31|Speech (Player)|It's ready, time to give it to one of my friends!|C'est prêt, c'est l'heure d'en donner à l'un de mes amis!
32|Speech (Player)|I'm already carrying a custard.|J'ai déjà du tubby-délice.
33|Speech (Player)|Now to make myself some tubby custard!|À moi de me servir!
34|Speech (Player)|I can't sleep...|Je n'arrive pas à dormir...
35|Speech (Player)|*Gasp*|*Arg*
36|Speech (Player)|Tubby custard, how did that get here?|Tubby-Délice, comment est-ce arrivé ici?
37|Speech (Player)|Tinky Winky doesn't seem to be here, I guess I better check the lake.|Tinky Winky ne semble pas être dans le coin, Je devrais vérifier la plage.
38|Speech (Player)|Tinky Winky...?|Tinky Winky...?
39|Speech (Player)|Wh... What happened to La La...?|Mais... Qu'est-il arrivé à Laa-Laa...?
40|Speech (Player)|Are you ok...?|Ça va...?
41|Speech (Player)|Oh my god!|Oh mon dieu!
42|Speech (Player)|He's chasing me, I better get to the house quick!|Il me poursuit, Je dois rentrer à la maison et vite!
43|Speech (Player)|Hey Dipsy...|Hé Dipsy...
44|Speech (Dipsy (Hungry))|Hey.|Hé.
45|Speech (Player)|It still works, but I don't need it right now.|Ça fonctionne encore, mais je n'en ai pas besoin maintenant.
46|Speech (Tinky Winky)|........................................|........................................
