ID|Type|Original line|The translation
0|Speech (Player)|There's no place like home.|Não há lugar melhor que o lar.
1|Speech (Noo Noo)|You should head home, You haven't eaten today.|Você deve ir para casa, você não comeu hoje.
2|Speech (Player)|Yeah I'm done here anyway, Let's go.|Sim, eu terminei aqui de qualquer jeito, vamos.
3|Speech (Noo Noo)|Actually, I'm gonna stay here for a bit.|Na verdade, eu vou ficar aqui um pouco.
4|Speech (Player)|Alright, See you later Noo Noo!|Certo, te vejo depois Noo Noo!
5|Speech (Noo Noo)|Bye Po, I'll be home soon.|Tchau Po, estarei em casa em breve.
6|Speech (Noo Noo)|I wonder what the others are up to.|Eu me pergunto o que os outros estão fazendo.
7|Speech (Noo Noo)|Why are you out here all by yourself?|Por que você está aqui fora sozinho?
8|Speech (Noo Noo)|Everyone misses you.|Todo mundo sente sua falta.
9|Speech (Dipsy (Hungry))|It should be on the tool rack near the beds.|Deve estar no suporte de ferramentas perto das camas.
10|Speech (Player)|Alright thanks!|Tudo bem, obrigado!
11|Speech (Tinky Winky)|PO's back, horray!|Po voltou, oba!
12|Speech (Player)|I'm sorry, I didn't mean to be rude.|Me desculpe, não queria ser rude.
13|Speech (Noo Noo)|All is forgiven.|Tudo é perdoado.
14|Speech (Player)|There is no time to wake the others.  I need to follow him quickly before he goes far!|Não há tempo para acordar os outros. Preciso segui-lo rápido antes que vá muito longe!
15|Speech (Player)|I better grab a torch from the work bench.|É melhor pegar uma lanterna da bancada de trabalho.
16|Speech (Player)|I hope custard will chear Laa Laa up...|Espero que o creminho gostoso anime Laa Laa...
17|Speech (Player)|What a view...|Que vista...
18|Speech (Noo Noo)|It's a beautiful day.|É um belo dia.
19|Speech (Lala)|Oh, hi Po... *sigh*|Ah, oi Po... *suspiro*
20|Speech (Dipsy (Hungry))|Of course, you need to press the 'on' button on your right.|Claro, você precisa pressionar o botão 'on' à sua direita.
21|Speech (Player)|Ah now I remember, thanks!|Ah agora eu lembro, obrigada!
22|Speech (Player)|What I'm doing here is none of your concern.|O que estou fazendo aqui não é da sua conta.
23|Speech (Noo Noo)|You are my concern, I am here for you.|Você é da minha conta, estou aqui para você.
24|Speech (Player)|It sure is! Today is nice and warm.|Com certeza é! Hoje está bom e quente.
25|Speech (Noo Noo)|I am unable to feel warmth.|Não consigo sentir calor.
26|Speech (Dipsy (Hungry))|Nope, it's been missing for so long that I can't even remember when I lost it.|Não, está perdido há tanto tempo que nem consigo me lembrar quando perdi.
27|Speech (Player)|You'll find it eventually, I'm sure.|Você provavelmente vai encontrá-lo, tenho certeza.
28|Speech (Player)|I should probably give Dipsy some tubby custard.|Eu deveria dar a Dipsy um pouco de creme.
29|Speech (Player)|I'll need to find the tool box before I can fix this.|Eu vou precisar encontrar a caixa de ferramentas antes de poder consertar isso.
30|Speech (Player)|(He's my best friend!)|(Ele é meu melhor amigo!)
31|Speech (Player)|It's ready, time to give it to one of my friends!|Pronto, hora de dá-lo a um dos meu amigos!
32|Speech (Player)|I'm already carrying a custard.|Eu já estou carregando um creme.
33|Speech (Player)|Now to make myself some tubby custard!|Agora vou fazer um pouco de creminho gostoso para mim!
34|Speech (Player)|I can't sleep...|Não consigo dormir...
35|Speech (Player)|*Gasp*|*Gasp*
36|Speech (Player)|Tubby custard, how did that get here?|Creme, como isso chegou aqui?
37|Speech (Player)|Tinky Winky doesn't seem to be here, I guess I better check the lake.|Parece que Tinky Winky não está aqui, eu acho que é melhor checar o lago.
38|Speech (Player)|Tinky Winky...?|Tinky Winky...?
39|Speech (Player)|Wh... What happened to La La...?|O... O que aconteceu com a Laa Laa...?
40|Speech (Player)|Are you ok...?|Você está bem...?
41|Speech (Player)|Oh my god!|Ai meu deus!
